Title,Description,Link,Length,Lecture No.,Book,Sp 2020 Book,Homework Number,Book Type
Michelson Interferometer,Michelson Interferometer,https://apps.tlt.stonybrook.edu/vq/themmick/366/,6:00,29,20,12,10,Extra_Credit
Soap Bubble,Soap Bubble,https://apps.tlt.stonybrook.edu/vq/themmick/367/,8:33,29,21,13,11,Extra_Credit
Anti-Reflective Coating,Anti-Reflective Coating,https://apps.tlt.stonybrook.edu/vq/themmick/368/,3:46,29,21,13,11,Extra_Credit
Water Glass,Water Glass,https://apps.tlt.stonybrook.edu/vq/themmick/369/,3:55,29,23,14,12,Extra_Credit
Lost Toy,Lost Toy,https://apps.tlt.stonybrook.edu/vq/themmick/370/,2:52,29,23,14,12,Extra_Credit
Glass Block,Glass Block,https://apps.tlt.stonybrook.edu/vq/themmick/371/,3:54,29,23,14,12,Extra_Credit
Mirage,Mirage,https://apps.tlt.stonybrook.edu/vq/themmick/372/,4:18,29,24,14,12,Extra_Credit
Two Slit,Two Slit,https://apps.tlt.stonybrook.edu/vq/themmick/373/,7:02,30,20,12,10,Extra_Credit
Single Slit,Single Slit,https://apps.tlt.stonybrook.edu/vq/themmick/374/,4:49,30,20,12,10,Extra_Credit
Human Hair,Human Hair,https://apps.tlt.stonybrook.edu/vq/themmick/375/,2:50,30,20,12,10,Extra_Credit
Two Lenses,Two Lenses,https://apps.tlt.stonybrook.edu/vq/themmick/376/,15:17,33,22,13,11,Extra_Credit
Lens and Mirror,Lens and Mirror,https://apps.tlt.stonybrook.edu/vq/themmick/377/,8:48,33,22,13,11,Extra_Credit
Near Sighted,Near Sighted,https://apps.tlt.stonybrook.edu/vq/themmick/378/,6:41,34,22,13,11,Extra_Credit
Reading Glasses,Reading Glasses,https://apps.tlt.stonybrook.edu/vq/themmick/379/,4:20,34,22,13,11,Extra_Credit
